project_district,project_type,budget_amount,estimated_cost,actual_cost
11,Trust For Public Lan,410000,410000,397000
11,Trust For Public Lan,134000,134000,134000
11,DIIT - RESOA,100000,99244,99244
11,SCA IEH,IEH,154919,2852
11,DIIT - RESOA,100000,99246,99246
11,DIIT - RESOA,100000,99249,99249
11,DOE - Skilled Trades,DOES,50623,50623
11,SCA CIP,17636,27328,27328
11,SCA CIP,70546,107048,107048
11,SCA CIP,82303,82303,15082
11,SCA CIP,9087,8574,8574
11,SCA CIP,33318,34357,34357
11,SCA CIP,352867,323092,154897
11,SCA CIP,281084,250081,23913
11,DIIT - Project Conne,DIIT,4309,0
11,DIIT - Project Conne,DIIT,4309,0
11,DOE - Skilled Trades,DOES,450000,906
11,SCA CIP,8760,5196,5196
11,SCA CIP,32120,20854,20854
11,SCA CIP,340180,308047,11897
11,SCA CIP,266446,224496,11481
11,SCA CIP RESOA,0,15804,1057
11,SCA CIP RESOA,66000,50196,4227
11,SCA CIP RESOA,968000,968000,0
11,SCA CIP RESOA,66000,66000,322
11,SCA IEH,IEH,17508,3398
11,SCA CIP,57169,260002,192405
11,SCA CIP,227711,177669,152873
11,SCA CIP,4183224,3843039,1200524
11,SCA CIP,279294,184701,184217
11,SCA CIP,17133,2930,2930
11,SCA CIP,62819,62819,8251
11,SCA CIP,665314,665314,0
11,SCA CIP,232152,232152,514
11,SCA IEH,IEH,44440,2246
11,DOE - Skilled Trades,DOES,910763,855750
11,SCA CIP RESOA,0,153629,153326
11,SCA CIP RESOA,18000,427737,4173
11,SCA CIP RESOA,264000,8526695,7280
11,SCA CIP RESOA,18000,581366,5266
11,Fast Track Projects,FTK,100000,0
11,SCA CIP,162009,146686,146686
11,SCA CIP,633969,298837,203845
11,SCA CIP,7494062,9658125,39402
3,SCA CIP,1792982,1792982,30220
3,SCA CIP,212445,212445,28849
3,SCA CIP,6086,2495,2495
3,SCA CIP,22314,22314,9980
3,SCA CIP,236330,236330,0
3,SCA CIP,112209,112209,2057
3,SCA CIP RESOA,0,7615,1079
3,SCA CIP RESOA,15000,29216,4318
3,SCA CIP RESOA,220000,540181,0
3,SCA CIP RESOA,15000,36831,3927
3,SCA CIP RESOA,0,7377,0
3,SCA CIP RESOA,17100,9723,0
3,SCA CIP RESOA,250800,250800,0
3,SCA CIP RESOA,17100,17100,0
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,24000,24000,0
3,SCA CIP RESOA,352000,352000,0
3,SCA CIP RESOA,24000,24000,0
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,6000,6000,0
3,SCA CIP RESOA,88000,88000,0
3,SCA CIP RESOA,6000,6000,0
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,2100,2100,0
3,SCA CIP RESOA,30800,30800,0
3,SCA CIP RESOA,2100,2100,0
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,6000,6000,0
3,SCA CIP RESOA,88000,88000,0
3,SCA CIP RESOA,6000,6000,0
3,SCA IEH,IEH,13269,1552
3,SCA Furniture & Equi,100000,100000,100000
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,6000,6000,0
3,SCA CIP RESOA,88000,88000,0
3,SCA CIP RESOA,6000,6000,0
3,SCA CIP RESOA,0,138310,119111
3,SCA CIP RESOA,298918,271273,187837
3,SCA CIP RESOA,4384128,4384128,10883
3,SCA CIP RESOA,298918,298918,37924
3,DOE - Skilled Trades,DOES,1184701,1184701
3,SCA CIP,151991,61715,60922
3,SCA CIP,605469,605469,88921
3,SCA CIP,11128547,11128547,23419
3,SCA CIP,741738,741738,10751
3,SCA CIP,4610,992,992
3,SCA CIP,16904,16904,3967
3,SCA CIP,179034,179034,0
3,SCA CIP,131423,131423,0
3,SCA CIP RESOA,0,26682,26682
3,SCA CIP RESOA,18000,106241,1954
3,SCA CIP RESOA,264000,1949530,0
3,SCA CIP RESOA,18000,132923,0
3,SCA CIP RESOA,0,15378,15378
3,SCA CIP RESOA,12000,84730,955
3,SCA CIP RESOA,176000,1468256,3709
3,SCA CIP RESOA,12000,100108,3911
3,SCA CIP RESOA,0,19655,19655
3,SCA CIP RESOA,18600,4421,4421
3,SCA CIP RESOA,272800,272800,6637
3,SCA CIP RESOA,18600,18600,4952
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,16800,16800,0
3,SCA CIP RESOA,246400,246400,0
3,SCA CIP RESOA,16800,16800,0
3,DIIT - Project Conne,DIIT,5654,0
3,DOE - Skilled Trades,DOES,62928,62928
3,SCA Lease Site Impro,342350,455743,455592
3,SCA Lease Site Impro,1095520,1927382,1824311
3,SCA Lease Site Impro,15364668,14321206,6291132
3,SCA Lease Site Impro,2163652,940541,310575
3,SCA CIP,71049,53823,42223
3,SCA CIP,274428,274428,95308
3,SCA CIP,4268779,4268779,536
3,SCA CIP,458556,458556,3127
3,SCA CIP RESOA,0,7330,7330
3,SCA CIP RESOA,26869,32717,20503
3,SCA CIP RESOA,394078,438875,5879
3,SCA CIP RESOA,26869,42297,14980
3,DIIT - Project Conne,DIIT,842333,0
4,SCA IEH,IEH,203486,4370
