project_district,project_type,budget_amount,estimated_cost,actual_cost
23,DIIT - Project Conne,DIIT,135618,0
23,DOE - Skilled Trades,DOES,450000,0
23,SCA CIP,121259,70427,62997
23,SCA CIP,485035,143199,143099
23,SCA CIP,9094412,9094412,38017
23,SCA CIP,565874,565874,26906
23,SCA CIP RESOA,0,0,0
23,SCA CIP RESOA,7980,7980,0
23,SCA CIP RESOA,117040,117040,0
23,SCA CIP RESOA,7980,7980,0
23,SCA IEH,IEH,91789,5603
23,DOE- RESOA,150000,150000,72557
23,SCA IEH,IEH,14604,7072
23,SCA CIP,52529,66369,61689
23,SCA CIP,210114,132019,124438
23,SCA CIP,3939640,3939640,24740
23,SCA CIP,245133,245133,94219
23,SCA CIP RESOA,0,0,0
23,SCA CIP RESOA,30000,30000,0
23,SCA CIP RESOA,440000,440000,0
23,SCA CIP RESOA,30000,30000,0
23,SCA IEH,IEH,5526,1026
23,DOE- RESOA,50000,50000,0
23,DOE - Skilled Trades,DOES,322785,33489
23,SCA CIP,10128,9862,9862
28,DIIT - RESOA,50000,50000,49414
28,DOE - Skilled Trades,DOES,170000,921
28,Trust For Public Lan,50000,50000,50000
28,Trust For Public Lan,210000,210000,210000
28,Trust For Public Lan,630000,630000,200000
28,Trust For Public Lan,157500,157500,0
28,SCA Emergency Lighti,720,316,316
28,SCA Emergency Lighti,2600,28954,28954
28,SCA Emergency Lighti,77000,21821,19743
28,SCA Emergency Lighti,12240,18489,18489
28,DIIT - RESOA,75000,74438,74438
28,SCA Capacity,1309344,1039266,1036281
28,SCA Capacity,4189902,3563261,1753918
28,SCA Capacity,58763373,53285051,2156855
28,SCA Capacity,8275056,3209246,510873
28,SCA CIP,3684,0,0
28,SCA CIP,13509,13509,0
28,SCA CIP,143076,143076,0
28,SCA CIP,33159,33159,0
28,SCA CIP RESOA,0,7605,7605
28,SCA CIP RESOA,14403,62767,1017
28,SCA CIP RESOA,211240,1032129,0
28,SCA CIP RESOA,14403,70372,0
28,DOE- RESOA,116667,79055,79055
28,DOE- RESOA,0,6090,0
28,DOE - Skilled Trades,DOES,340000,2312
28,SCA CIP RESOA,0,12185,12185
28,SCA CIP RESOA,22347,73935,36707
28,SCA CIP RESOA,327757,277121,97355
28,SCA CIP RESOA,28987,47865,41477
28,SCA CIP RESOA,37140,37140,3330
28,SCA CIP,154802,121892,120943
28,SCA CIP,609705,560467,449513
28,SCA CIP,10579254,9509306,4433767
28,SCA CIP,845923,294199,254389
28,SCA CIP RESOA,0,22007,22007
28,SCA CIP RESOA,24462,29466,25063
28,SCA CIP RESOA,358772,221721,3144
28,SCA CIP RESOA,24462,19627,3253
28,DIIT - RESOA,35000,34737,34737
28,DOE- RESOA,150000,150000,0
28,DOE- RESOA,150000,160350,160350
28,SCA CIP RESOA,0,16903,16903
28,SCA CIP RESOA,33000,51095,19654
28,SCA CIP RESOA,484000,484000,0
28,SCA CIP RESOA,33000,33000,2852
28,SCA CIP RESOA,0,9704,9704
28,SCA CIP RESOA,18000,4078,4078
28,SCA CIP RESOA,264000,569510,0
28,SCA CIP RESOA,18000,38830,3981
28,SCA CIP RESOA,0,19073,4782
28,SCA CIP RESOA,45085,82705,21092
28,SCA CIP RESOA,661249,466448,201088
28,SCA CIP RESOA,86460,97059,87272
28,SCA IEH,IEH,6732,2232
28,SCA IEH,IEH,4756,256
28,DOE- RESOA,0,6069,0
28,SCA CIP RESOA,0,13843,735
28,SCA CIP RESOA,37140,23297,2940
28,SCA CIP RESOA,544720,544720,7774
28,SCA CIP RESOA,0,8062,8062
28,SCA CIP RESOA,13500,91093,1551
28,SCA CIP RESOA,198000,1454278,0
28,SCA CIP RESOA,13500,99155,0
28,SCA IEH,IEH,544,544
28,SCA IEH,IEH,293,293
28,SCA CIP,29814,29814,0
28,SCA CIP,119256,119256,0
28,SCA CIP,2236044,2236044,0
28,SCA CIP,139132,139132,0
28,SCA IEH,IEH,250703,5397
28,SCA IEH,IEH,5664,1164
28,DOE- RESOA,35000,46216,46216
28,DOE - Skilled Trades,DOES,384954,0
28,SCA IEH,IEH,22077,2436
28,SCA IEH,IEH,14598,1904
28,DIIT - RESOA,35000,34733,34733
28,DOE- RESOA,0,6090,0
28,SCA CIP RESOA,0,0,0
28,SCA CIP RESOA,30000,30000,0
28,SCA CIP RESOA,440000,440000,0
28,SCA CIP RESOA,30000,30000,0
28,DOE- RESOA,0,6090,0
28,SCA CIP,111974,39744,39744
28,SCA CIP,447899,161306,159758
28,SCA CIP,8398109,8398109,53641
28,SCA CIP,522549,522549,26674
28,SCA CIP RESOA,0,0,0
28,SCA CIP RESOA,9000,9000,0
28,SCA CIP RESOA,132000,132000,0
28,SCA CIP RESOA,9000,9000,0
28,SCA IEH,IEH,6838,3338
28,DOE- RESOA,175626,175627,175627
28,SCA IEH,IEH,14394,2320
28,SCA IEH,IEH,24277,2960
28,DOE- RESOA,0,6090,0
28,DOE - Skilled Trades,DOES,170000,802
28,DIIT - RESOA,75000,74435,74435
28,DOE- RESOA,65000,12702,12702
28,SCA CIP,69260,80811,80811
28,SCA CIP,242410,782289,767164
28,SCA CIP,3930505,10273555,10374395
28,SCA CIP,277040,2563479,2452817
28,SCA CIP,96945,42522,42522
28,SCA CIP,385485,241053,234661
28,SCA CIP,7021785,7021785,15190
28,SCA CIP,482256,482256,29279
28,SCA CIP RESOA,0,0,0
28,SCA CIP RESOA,60000,60000,0
28,SCA CIP RESOA,880000,880000,0
28,SCA CIP RESOA,60000,60000,0
28,SCA Emergency Lighti,720,433,433
28,SCA Emergency Lighti,2600,13152,13152
28,SCA Emergency Lighti,77000,137800,134836
28,SCA Emergency Lighti,12240,25107,25107
28,DOE- RESOA,118438,118438,118438
28,DOE - Skilled Trades,DOES,44144,44144
28,SCA CIP,18767,4429,4429
28,SCA CIP,68813,68813,46771
28,SCA CIP,728790,728790,1189
28,SCA CIP,168904,168904,6868
28,SCA CIP,15000,1287,1287
28,SCA CIP,55000,55000,5150
28,SCA CIP,582500,582500,0
28,SCA CIP,135000,135000,992
23,SCA CIP,393304,350579,6926
23,SCA CIP,91152,43331,13732
23,SCA CIP,13420,13386,13386
23,SCA CIP,49208,42515,29882
23,SCA CIP,521162,471314,21743
23,SCA CIP,120784,51827,21761
23,SCA CIP RESOA,0,0,0
23,SCA CIP RESOA,120000,120000,0
23,SCA CIP RESOA,1760000,1760000,0
23,SCA CIP RESOA,120000,120000,0
23,SCA CIP RESOA,0,0,0
23,SCA CIP RESOA,4500,4500,0
23,SCA CIP RESOA,66000,66000,0
23,SCA CIP RESOA,4500,4500,0
23,SCA Furniture & Equi,164750,164750,0
23,SCA Furniture & Equi,164750,164750,0
23,DOE - Skilled Trades,DOES,215534,0
23,DIIT - Project Conne,DIIT,265404,0
23,DIIT - RESOA,375000,372184,372184
23,DOE - Skilled Trades,DOES,286988,75000
23,DOE - Skilled Trades,DOES,28870,28870
23,DOE - Skilled Trades,DOES,93841,93841
23,SCA CIP RESOA,0,0,0
23,SCA CIP RESOA,18600,18600,0
23,SCA CIP RESOA,272800,272800,0
23,SCA CIP RESOA,18600,18600,0
23,SCA CIP RESOA,0,0,0
23,SCA CIP RESOA,6000,6000,0
23,SCA CIP RESOA,88000,88000,0
23,SCA CIP RESOA,6000,6000,0
23,DIIT - Project Conne,DIIT,327513,0
23,DIIT - Project Conne,DIIT,327513,0
23,DOE - Skilled Trades,DOES,296313,0
23,SCA CIP,21232,13901,1011
23,SCA CIP,84928,84928,4044
23,SCA CIP,1592400,1592400,0
23,SCA CIP,99083,99083,327
23,SCA CIP RESOA,0,631,631
23,SCA CIP RESOA,9187,10853,0
23,SCA CIP RESOA,134743,168429,0
23,SCA CIP RESOA,53681,44494,0
23,SCA CIP RESOA,0,0,0
23,SCA CIP RESOA,6840,6840,0
23,SCA CIP RESOA,100320,100320,0
23,SCA CIP RESOA,6840,6840,0
23,DIIT - Project Conne,DIIT,265404,0
23,DIIT - RESOA,450000,446624,446624
23,SCA IEH,IEH,36598,7814
23,DIIT - PBX Telephone,DIIX,164632,164632
24,SCA CIP,70650,56784,56784
24,SCA CIP,282600,471858,358358
24,SCA CIP,5298750,6838616,4300363
24,SCA CIP,329700,286400,172368
24,DIIT - RESOA,100000,99250,99250
24,SCA CIP,154535,265870,263068
24,SCA CIP,618139,349667,187687
24,SCA CIP,11590106,11590106,0
24,SCA CIP,721162,721162,5213
24,SCA CIP,13192,1830,1830
24,SCA CIP,48372,48372,7319
24,SCA CIP,512298,512298,0
24,SCA CIP,169208,169208,246
24,DIIT - RESOA,35000,34732,34732
24,DIIT - RESOA,100000,99250,99250
24,DIIT - RESOA,75000,74437,74437
24,SCA CIP,183234,172756,172756
24,SCA CIP,719180,566110,452401
24,SCA CIP,12250024,11111030,866675
24,SCA CIP,1033920,117699,97272
24,SCA CIP RESOA,0,830,830
24,SCA CIP RESOA,54000,53170,3320
24,SCA CIP RESOA,792000,792000,0
24,SCA CIP RESOA,54000,54000,0
24,SCA CIP RESOA,0,0,0
24,SCA CIP RESOA,36000,36000,0
24,SCA CIP RESOA,528000,528000,0
24,SCA CIP RESOA,36000,36000,0
24,SCA CIP RESOA,0,0,0
24,SCA CIP RESOA,6000,6000,0
24,SCA CIP RESOA,88000,88000,0
24,SCA CIP RESOA,6000,6000,0
24,SCA CIP,97135,78087,78087
24,SCA CIP,382655,445631,421772
24,SCA CIP,6646424,6052341,4215774
24,SCA CIP,529830,286449,239198
24,DIIT - RESOA,35000,34733,34733
24,DIIT - RESOA,35000,34738,34738
24,DOE- RESOA,0,6090,0
24,DOE - Skilled Trades,DOES,83138,83138
24,SCA CIP RESOA,0,0,0
24,SCA CIP RESOA,18000,18000,0
24,SCA CIP RESOA,264000,264000,0
24,SCA CIP RESOA,18000,18000,0
24,DOE- RESOA,100000,188387,188387
24,SCA CIP,158571,162951,162477
24,SCA CIP,629250,505957,504571
24,SCA CIP,11346636,10358000,10048177
24,SCA CIP,805440,388717,346387
24,SCA IEH,IEH,930,930
24,DIIT - RESOA,80000,79400,79400
24,DIIT - RESOA,235000,233236,233236
24,DOE - Skilled Trades,DOES,125283,125283
24,SCA Capacity,2387298,1832980,1820872
24,SCA Capacity,7639353,5269834,3645914
24,SCA Capacity,107141924,97171330,42139303
24,SCA Capacity,15087722,6131441,1172108
24,SCA CIP,3684,0,0
24,SCA CIP,13509,13509,0
24,SCA CIP,143076,143076,0
24,SCA CIP,33159,33159,0
24,SCA Capacity,788350,790853,737038
24,SCA Capacity,2522720,2452990,1917231
24,SCA Capacity,35381148,33096938,31499499
24,SCA Capacity,4982372,4403907,3675224
24,DIIT - RESOA,35000,34738,34738
24,DIIT - RESOA,70000,69467,69467
24,DOE - Skilled Trades,DOES,170000,3382
24,DOE - Skilled Trades,DOES,152729,0
24,Trust For Public Lan,30000,30000,0
24,Trust For Public Lan,90000,90000,0
24,Trust For Public Lan,300000,300000,0
24,Trust For Public Lan,81000,81000,0
24,SCA CIP,99199,67255,67255
28,SCA CIP RESOA,0,0,0
28,SCA CIP RESOA,57300,57300,0
28,SCA CIP RESOA,840400,840400,0
28,SCA CIP RESOA,57300,57300,0
28,SCA IEH,IEH,32655,2676
28,SCA IEH,IEH,1066,566
28,DIIT - RESOA,35000,34731,34731
28,DOE- RESOA,100000,68412,68412
28,DOE - Skilled Trades,DOES,450000,900
28,SCA CIP RESOA,0,9709,9709
28,SCA CIP RESOA,20400,58438,38830
28,SCA CIP RESOA,299200,276479,226737
28,SCA CIP RESOA,20400,23814,18834
28,SCA Emergency Lighti,720,440,440
28,SCA Emergency Lighti,2600,22278,22278
28,SCA Emergency Lighti,77000,57758,57570
28,SCA Emergency Lighti,12240,20272,20272
28,DCAS/NYPA,2159794,2159794,2159794
28,DOE - Skilled Trades,DOES,625030,625030
28,DOE - Skilled Trades,DOES,55785,55785
28,SCA CIP,9828,10971,2938
28,SCA CIP,36034,43527,23798
28,SCA CIP,381637,381637,0
28,SCA CIP,88448,88448,3347
28,SCA CIP RESOA,0,9582,9582
28,SCA CIP RESOA,32802,39289,35138
28,SCA CIP RESOA,481094,388781,5631
28,SCA CIP RESOA,36100,49740,6943
28,SCA CIP RESOA,0,0,0
28,SCA CIP RESOA,24000,24000,0
28,SCA CIP RESOA,352000,352000,0
28,SCA CIP RESOA,24000,24000,0
28,SCA CIP RESOA,0,34,34
28,SCA CIP RESOA,17700,17666,137
28,SCA CIP RESOA,259600,259600,0
28,SCA CIP RESOA,17700,17700,0
28,SCA Emergency Lighti,720,61,61
28,SCA Emergency Lighti,2600,3413,3413
28,SCA Emergency Lighti,77000,32054,31951
28,SCA Emergency Lighti,12240,9846,9846
28,SCA IEH,IEH,37984,3780
28,DOE- RESOA,119825,119825,122989
28,SCA CIP,28767,50184,44033
28,SCA CIP,111341,108328,88421
28,SCA CIP,1753037,1647315,316914
28,SCA CIP,182711,114787,85129
28,SCA CIP RESOA,0,1197,1197
28,SCA CIP RESOA,21300,20103,4787
28,SCA CIP RESOA,312400,312400,0
28,SCA CIP RESOA,21300,21300,0
28,SCA CIP RESOA,0,0,0
28,SCA CIP RESOA,12000,12000,0
28,SCA CIP RESOA,176000,176000,0
28,SCA CIP RESOA,12000,12000,0
28,SCA CIP RESOA,0,0,0
28,SCA CIP RESOA,6000,6000,0
28,SCA CIP RESOA,88000,88000,0
28,SCA CIP RESOA,6000,6000,0
28,DIIT - RESOA,50000,49608,49608
28,DIIT - RESOA,35000,34738,34738
28,DOE- RESOA,125000,125000,0
28,DOE - Skilled Trades,DOES,60008,21275
28,DIIT - RESOA,35000,34738,34738
28,DIIT - RESOA,75000,74438,74438
28,DIIT - RESOA,35000,34735,34735
28,DOE- RESOA,50000,50000,0
28,DOE - Skilled Trades,DOES,35470,35470
28,SCA IEH,IEH,3134,134
29,SCA CIP RESOA,0,0,0
29,SCA CIP RESOA,15000,15000,0
29,SCA CIP RESOA,220000,220000,0
29,SCA CIP RESOA,15000,15000,0
29,SCA CIP,139554,103816,99579
29,SCA CIP,553784,365514,334209
29,SCA CIP,9985848,9248003,6866078
29,SCA CIP,708845,304273,234032
29,SCA CIP,21127,50192,49245
29,SCA CIP,84510,76993,76993
29,SCA CIP,1584554,1584554,22634
29,SCA CIP,98594,98594,8918
29,SCA IEH,IEH,18273,1870
29,DIIT - RESOA,35000,34738,34738
29,DIIT - RESOA,84000,83369,83369
29,DIIT - RESOA,35000,34736,34736
29,SCA CIP,97450,79544,75598
29,SCA CIP,380870,221303,221303
29,SCA CIP,6339941,6339941,29594
29,SCA CIP,570840,570840,18635
29,SCA CIP RESOA,0,0,0
29,SCA CIP RESOA,15000,15000,0
29,SCA CIP RESOA,220000,220000,0
29,SCA CIP RESOA,15000,15000,0
29,SCA CIP RESOA,0,884,884
29,SCA CIP RESOA,24000,23116,3537
29,SCA CIP RESOA,352000,352000,0
29,SCA CIP RESOA,68494,44494,0
29,DIIT - RESOA,35000,34738,34738
29,DIIT - RESOA,45000,44654,44654
29,SCA CIP,92410,84034,76604
29,SCA CIP,369639,196685,195183
29,SCA CIP,6930736,6930736,13235
29,SCA CIP,431246,431246,13350
29,SCA CIP,245222,267434,259680
29,SCA CIP,967305,816454,651470
29,SCA CIP,16918073,15333173,264349
29,SCA CIP,1320918,158006,145279
29,SCA CIP RESOA,0,0,0
29,SCA CIP RESOA,15000,15000,0
29,SCA CIP RESOA,220000,220000,0
29,SCA CIP RESOA,15000,15000,0
29,DIIT - Project Conne,DIIT,26072,0
29,DIIT - RESOA,35000,34737,34737
29,DOE - Lead Paint,DOEL,457,457
29,DIIT - RESOA,100000,99248,99248
29,SCA CIP,31266,53208,50736
29,SCA CIP,121402,94780,75020
29,SCA CIP,1947408,1888474,538414
29,SCA CIP,193550,119696,103410
29,RCT CIP,19725,1088,1088
29,RCT CIP,72325,4474,4474
29,RCT CIP,765988,690414,682103
16,SCA CIP RESOA,0,1406,1406
16,SCA CIP RESOA,4500,5624,5624
16,SCA CIP RESOA,66000,66000,0
16,SCA CIP RESOA,4500,4500,0
16,DIIT - Project Conne,DIIT,176804,0
16,DIIT - RESOA,200000,198498,198498
16,SCA CIP,17700,8615,8615
16,SCA CIP,64900,34766,34594
16,SCA CIP,687350,619351,373469
16,SCA CIP,159300,78436,61698
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,7800,7800,0
16,SCA CIP RESOA,114400,114400,0
16,SCA CIP RESOA,7800,7800,0
16,SCA IEH,IEH,55643,11241
16,SCA IEH,IEH,17311,7765
16,DIIT - Project Conne,DIIT,102481,0
16,SCA IEH,IEH,158887,17753
16,DIIT - Project Conne,DIIT,274650,0
16,SCA CIP,56655,51916,51394
16,SCA CIP,226620,158504,129305
16,SCA CIP,4249125,3900139,105669
16,SCA CIP,264390,49256,49256
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,3000,3000,0
16,SCA CIP RESOA,44000,44000,0
16,SCA CIP RESOA,3000,3000,0
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,12840,12840,0
16,SCA CIP RESOA,188320,188320,0
16,SCA CIP RESOA,12840,12840,0
16,SCA IEH,IEH,199,199
16,DIIT - RESOA,250000,248125,248125
16,SCA CIP RESOA,0,35809,35809
16,SCA CIP RESOA,45480,150108,144328
16,SCA CIP RESOA,667040,620208,355207
16,SCA CIP RESOA,207105,282798,184033
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,3000,3000,0
16,SCA CIP RESOA,44000,44000,0
16,SCA CIP RESOA,3000,3000,0
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,3720,3720,0
16,SCA CIP RESOA,54560,54560,0
16,SCA CIP RESOA,3720,3720,0
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,13200,13200,0
16,SCA CIP RESOA,193600,193600,0
16,SCA CIP RESOA,13200,13200,0
16,DIIT - RESOA,100000,99250,99250
16,DIIT - Project Conne,DIIT,285165,0
16,SCA CIP,20312,18038,18038
16,SCA CIP,74478,70834,29494
16,SCA CIP,788792,788792,17888
16,SCA CIP,182810,182810,9947
16,SCA IEH,IEH,136131,93557
16,DOE- RESOA,350000,97273,97273
16,SCA CIP,47788,28658,28658
16,SCA CIP,191152,116976,115272
16,SCA CIP,3584094,3584094,534
16,SCA CIP,223010,223010,5017
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,6000,6000,0
16,SCA CIP RESOA,88000,88000,0
16,SCA CIP RESOA,6000,6000,0
16,DOE- RESOA,200000,200000,0
16,DOE - Skilled Trades,DOES,450000,0
16,DOE - Skilled Trades,DOES,117874,117874
16,DOE - Skilled Trades,DOES,1000000,695491
16,SCA CIP RESOA,0,801,801
16,SCA CIP RESOA,51826,33043,3204
16,SCA CIP RESOA,760115,496376,0
16,SCA CIP RESOA,51826,33844,0
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,15000,15000,0
16,SCA CIP RESOA,220000,220000,0
16,SCA CIP RESOA,15000,15000,0
17,DIIT - RESOA,35000,34733,34733
17,DOE - Skilled Trades,DOES,36729,36729
17,DOE - Skilled Trades,DOES,201486,201486
17,DIIT - RESOA,35000,34738,34738
17,DIIT - RESOA,200000,198497,198497
17,DIIT - RESOA,200000,198498,198498
17,DOE- RESOA,229000,229000,62207
17,DOE - Skilled Trades,DOES,170000,835
17,SCA CIP,5505,23873,20736
17,SCA CIP,20184,42819,38207
17,SCA CIP,213765,228748,144524
17,SCA CIP,49542,35742,35290
17,SCA CIP RESOA,0,0,0
17,SCA CIP RESOA,7500,7500,0
17,SCA CIP RESOA,110000,110000,0
17,SCA CIP RESOA,7500,7500,0
17,SCA IEH,IEH,50092,7886
17,SCA IEH,IEH,12254,2554
17,SCA IEH,IEH,54643,19915
17,SCA IEH,IEH,13251,3657
17,SCA IEH,IEH,14130,3333
17,SCA IEH,IEH,18374,6503
17,SCA IEH,IEH,17258,6418
17,SCA IEH,IEH,0,0
17,SCA Furniture & Equi,55000,55000,54664
17,DIIT - RESOA,64000,63516,63516
17,DOE - Skilled Trades,DOES,189761,187013
17,SCA CIP,32970,39670,39670
17,SCA CIP,131880,97965,74657
17,SCA CIP,2472750,2258254,189569
17,SCA CIP,153860,298030,297130
17,SCA CIP RESOA,0,0,0
17,SCA CIP RESOA,9000,9000,0
17,SCA CIP RESOA,132000,132000,0
17,SCA CIP RESOA,9000,9000,0
17,SCA IEH,IEH,178771,11262
17,DIIT - Project Conne,DIIT,304442,0
17,SCA CIP,151559,140135,138675
17,SCA CIP,606241,128583,128583
29,SCA CIP RESOA,440000,440000,10495
17,SCA CIP,11367000,10368455,37625
17,SCA CIP,707280,39809,39465
17,SCA IEH,IEH,194320,17951
17,SCA IEH,IEH,15854,1354
17,DIIT - Project Conne,DIIT,260721,0
17,DOE- RESOA,144345,144345,105976
17,SCA IEH,IEH,34020,3426
29,RCT CIP,177525,62105,62105
29,SCA CIP,27718,45702,42919
29,SCA CIP,101634,114815,114815
29,SCA CIP,1076401,976737,876551
29,SCA CIP,249466,140178,128800
29,DIIT - Project Conne,DIIT,837633,837633
29,SCA CIP,11252,2453,2453
29,SCA CIP,41257,41257,9812
29,SCA CIP,436945,436945,0
29,SCA CIP,152929,152929,1431
29,SCA CIP RESOA,0,0,0
29,SCA CIP RESOA,3900,3900,0
29,SCA CIP RESOA,57200,57200,0
29,SCA CIP RESOA,3900,3900,0
29,SCA CIP RESOA,0,0,0
29,SCA CIP RESOA,3600,3600,0
29,SCA CIP RESOA,52800,52800,0
29,SCA CIP RESOA,3600,3600,0
29,SCA IEH,IEH,22429,2210
29,DIIT - Project Conne,DIIT,29943,0
29,DOE - Skilled Trades,DOES,251145,251145
29,SCA CIP RESOA,0,10007,3323
29,SCA CIP RESOA,33448,42830,34589
29,SCA CIP RESOA,490567,464777,213944
29,SCA CIP RESOA,68049,90824,41781
29,DOE- RESOA,250000,80324,0
29,SCA CIP,142560,142722,142722
29,SCA CIP,563200,522277,492896
29,SCA CIP,9928160,11183006,9972261
29,SCA CIP,756800,703102,669143
29,SCA IEH,IEH,2182,1682
29,DOE - Lead Paint,DOEL,450,450
29,DOE - Lead Paint,DOEL,521,521
29,DOE - Skilled Trades,DOES,224378,224378
29,SCA Capacity,1362869,786234,718812
29,SCA Capacity,4361180,4361180,108562
29,SCA Capacity,61165544,61165544,58460
29,SCA Capacity,8613330,8613330,102851
29,SCA Capacity,44834,1366,1366
29,SCA Capacity,143469,5462,5462
29,SCA Capacity,2012150,1839578,646516
29,SCA Capacity,283351,285338,199748
29,SCA CIP,94509,23151,23151
29,SCA CIP,371910,93274,93274
29,SCA CIP,6423505,5793796,307250
29,SCA CIP,520679,103460,92409
29,SCA CIP,6761,2824,2824
29,SCA CIP,24790,12708,12708
29,SCA CIP,262549,262549,22813
29,SCA CIP,60848,60848,5489
29,SCA IEH,IEH,51274,7857
29,DOE - Skilled Trades,DOES,170000,835
29,SCA CIP,119426,127931,127454
29,SCA CIP,470089,147199,139327
29,SCA CIP,8130472,8130472,2439
29,SCA CIP,656356,656356,34502
29,SCA CIP RESOA,0,0,0
29,SCA CIP RESOA,60000,60000,0
29,SCA CIP RESOA,880000,880000,0
29,SCA CIP RESOA,60000,60000,0
29,DIIT - RESOA,35000,34738,34738
29,DIIT - RESOA,100000,99244,99244
29,DOE - Lead Paint,DOEL,485,485
29,DOE - Lead Paint,DOEL,500,0
29,SCA CIP RESOA,0,27205,27158
29,SCA CIP RESOA,23101,28435,26379
29,SCA CIP RESOA,338818,308874,3874
29,SCA CIP RESOA,23101,31581,8866
29,SCA CIP RESOA,0,0,0
29,SCA CIP RESOA,6600,6600,0
29,SCA CIP RESOA,96800,96800,0
29,SCA CIP RESOA,6600,6600,0
29,SCA IEH,IEH,14821,3660
29,DOE - Skilled Trades,DOES,170000,1311
29,SCA IEH,IEH,23937,2156
29,DIIT - PBX Telephone,DIIX,263746,263746
29,DIIT - RESOA,35000,34657,34657
29,DOE - Skilled Trades,DOES,170000,971
29,SCA CIP RESOA,0,9979,9979
29,SCA CIP RESOA,18000,32455,21269
29,SCA CIP RESOA,264000,264000,0
29,SCA CIP RESOA,18000,18000,1186
29,DOE - Skilled Trades,DOES,170000,1348
29,SCA CIP,49125,101442,97217
29,SCA CIP,196500,180623,180409
29,SCA CIP,3684375,3388927,1062546
29,SCA CIP,229250,226338,207144
29,DIIT - RESOA,35000,34730,34730
29,SCA Capacity,1004940,1071479,1051571
29,SCA Capacity,3768525,4288932,3866799
29,SCA Capacity,56527875,54175225,52459345
29,SCA Capacity,7385815,5991964,4935140
29,SCA CIP,50820,90128,75928
29,SCA CIP,203281,252699,251291
29,SCA CIP,3811512,3811512,6116
29,SCA CIP,237161,237161,24788
29,SCA CIP,108746,120179,117714
29,SCA CIP,410965,421629,359882
29,SCA CIP,5550070,4961572,3402086
29,SCA CIP,819700,341057,313665
29,SCA CIP RESOA,0,0,0
29,SCA CIP RESOA,18000,18000,0
29,SCA CIP RESOA,264000,264000,0
29,SCA CIP RESOA,18000,18000,0
29,DIIT - RESOA,35000,34734,34734
29,DIIT - RESOA,35000,34738,34738
29,DIIT - RESOA,45000,44555,44555
29,DIIT - RESOA,45000,45000,44660
29,DOE- RESOA,50000,49880,49880
29,Fast Track Projects,FTK,100000,0
29,DOE- RESOA,400000,400000,0
29,DOE- RESOA,104000,104000,0
29,SCA CIP RESOA,0,31588,31588
29,SCA CIP RESOA,30000,122279,122279
29,SCA CIP RESOA,30000,30000,5006
29,SCA CIP RESOA,0,0,0
29,SCA CIP RESOA,30000,30000,0
29,SCA CIP RESOA,440000,440000,0
29,SCA CIP RESOA,30000,30000,0
29,DOE- RESOA,300000,167993,167993
29,SCA Emergency Lighti,720,360,360
17,DOE - Skilled Trades,DOES,189936,189936
17,DOE - Skilled Trades,DOES,97530,97136
17,SCA CIP,67541,76815,50420
17,SCA CIP,260107,201300,151045
17,SCA CIP,3974355,3609897,747644
17,SCA CIP,445937,155620,155076
17,SCA CIP RESOA,0,0,0
17,SCA CIP RESOA,30000,30000,0
17,SCA CIP RESOA,440000,440000,0
17,SCA CIP RESOA,30000,30000,0
17,SCA CIP RESOA,0,0,0
17,SCA CIP RESOA,42000,42000,0
17,SCA CIP RESOA,616000,616000,0
17,SCA CIP RESOA,42000,42000,0
17,SCA CIP RESOA,0,0,0
17,SCA CIP RESOA,45000,45000,0
17,SCA CIP RESOA,660000,660000,0
17,SCA CIP RESOA,45000,45000,0
17,SCA IEH,IEH,48656,6160
17,SCA IEH,IEH,104495,4661
17,DIIT - RESOA,102000,101229,101229
17,SCA CIP,26520,21317,21317
17,SCA CIP,97240,95600,69950
17,SCA CIP,1029860,903955,11115
17,SCA CIP,238680,38445,38445
17,Fast Track Projects,FTK,486782,441102
17,DOE - Skilled Trades,DOES,170000,631
17,SCA CIP RESOA,0,0,0
17,SCA CIP RESOA,21000,21000,0
17,SCA CIP RESOA,308000,308000,0
17,SCA CIP RESOA,21000,21000,0
17,DOE- RESOA,150000,47993,47993
17,SCA CIP RESOA,0,0,0
17,SCA CIP RESOA,12000,12000,0
17,SCA CIP RESOA,176000,176000,0
17,SCA CIP RESOA,12000,12000,0
17,SCA IEH,IEH,38619,11943
17,DIIT - Project Conne,DIIT,537406,0
17,SCA CIP,118005,119342,113619
17,SCA CIP,472020,351683,351683
17,SCA CIP,8850375,8016416,102699
17,SCA CIP,550689,58747,58316
17,DOE - Skilled Trades,DOES,65431,65431
17,DOE - Skilled Trades,DOES,508,456
17,SCA IEH,IEH,19682,5474
17,SCA IEH,IEH,6530,2030
17,SCA Furniture & Equi,100000,100000,99895
17,DIIT - RESOA,64000,63518,63518
17,DOE - Skilled Trades,DOES,76925,59703
17,DIIT - RESOA,150000,148875,148875
17,SCA CIP,106670,56635,23376
17,SCA CIP,417946,132903,114363
